Restaurant_Name,city,Order_Items,Prices,Rating,Votes
The Nawaabs,Agra,Veg Biryani,269.0,4,38
The Nawaabs,Agra,Paneer Tikka Biryani,309.0,4,59
The Nawaabs,Agra,Mushroom Galouti,389.0,4,5
The Nawaabs,Agra,Veg Seekh Kebab,359.0,4,11
The Nawaabs,Agra,Malai Soya Chaap,339.0,4,13
The Nawaabs,Agra,Lahori Soya Chaap,329.0,4,12
The Nawaabs,Agra,Achari Soya Chaap,339.0,4,8
The Nawaabs,Agra,Dahi Ke Kebab,369.0,4,9
The Nawaabs,Agra,Achari Paneer Tikka,369.0,4,6
The Nawaabs,Agra,Classic Paneer Tikka,359.0,4,53
The Nawaabs,Agra,Malai Paneer Tikka,369.0,4,83
The Nawaabs,Agra,Lahori Veg Chaap Masala,269.0,4,15
The Nawaabs,Agra,Nawaabi Paneer,279.0,4,18
The Nawaabs,Agra,Paneer Pasanda,299.0,4,16
The Nawaabs,Agra,Paneer Tikka Masala,309.0,4,40
The Nawaabs,Agra,Veg Jalfrazi,279.0,4,8
The Nawaabs,Agra,Veg Nargisi Kofta,309.0,4,5
The Nawaabs,Agra,Roti,30.0,4,8
The Nawaabs,Agra,Naan,40.0,4,5
The Nawaabs,Agra,Laccha Paratha,60.0,4,16
The Nawaabs,Agra,Cheese Naan,90.0,4,6
The Nawaabs,Agra,Churi Churi Naan,90.0,4,7
The Nawaabs,Agra,Khameeri Naan,50.0,4,28
The Nawaabs,Agra,Papad [2 Pieces],79.0,4,14
Bistro 57,Agra,Bistro Special Chai [Large],80.0,4,5
Bistro 57,Agra,Chai Latte [Large],140.0,4,5
Bistro 57,Agra,Hot Chocolate [Large],180.0,4,17
Bistro 57,Agra,Belgium Hot Chocolate [Large],220.0,4,6
Bistro 57,Agra,Cheese Pizza,157.0,4,13
Bistro 57,Agra,Veggie Pizza,180.0,4,44
Bistro 57,Agra,Exotic Pizza,200.0,4,33
Bistro 57,Agra,Cheese and Corn Pizza,180.0,4,8
Bistro 57,Agra,Exotic Paneer Pizza,200.0,4,12
Bistro 57,Agra,Paneer Makhani Pizza,200.0,4,22
Bistro 57,Agra,White Sauce Pasta,260.0,4,6
Bistro 57,Agra,Red Sauce Pasta,260.0,4,16
Bistro 57,Agra,Mixed Sauce Pasta,280.0,4,19
Bistro 57,Agra,Makhani Sauce Pasta,280.0,4,9
Bistro 57,Agra,Veg Burger [Medium],120.0,4,5
Bistro 57,Agra,Veg Paneer Burger [Medium],157.0,4,10
Bistro 57,Agra,Taco Burger,157.0,4,11
Bistro 57,Agra,Paneer Chilli Lava Burger,157.0,4,15
Ghoomar Traditional Thali Restaurant,Agra,Jain Rajwadi Box By Ghoomar,395.0,4,27
