Restaurant_Name,Address,Prices,Order_Items
The Nawaabs,"['Tajganj, Agra']",[],Veg Biryani
The Nawaabs,"['Tajganj, Agra']",[],Egg Biryani
The Nawaabs,"['Tajganj, Agra']",[],Paneer Tikka Biryani
The Nawaabs,"['Tajganj, Agra']",[],Chicken Dum Phukt Biryani
The Nawaabs,"['Tajganj, Agra']",[],Chicken Tikka Biryani
The Nawaabs,"['Tajganj, Agra']",[],Awadhi Mutton Biryani
The Nawaabs,"['Tajganj, Agra']",[],Mutton Boti Biryani
The Nawaabs,"['Tajganj, Agra']",[],Egg And Cheese Roll
The Nawaabs,"['Tajganj, Agra']",[],Paneer Tikka Masala Roll
The Nawaabs,"['Tajganj, Agra']",[],Bhuna Chicken Roll
The Nawaabs,"['Tajganj, Agra']",[],Chicken Tikka Masala Roll
The Nawaabs,"['Tajganj, Agra']",[],Chicken Seekh Kebab Roll
The Nawaabs,"['Tajganj, Agra']",[],Butter Chicken Roll
The Nawaabs,"['Tajganj, Agra']",[],Tundey Kebab Roll
The Nawaabs,"['Tajganj, Agra']",[],Cheesy Cream Tangdi
The Nawaabs,"['Tajganj, Agra']",[],Kalmi Tangdi
The Nawaabs,"['Tajganj, Agra']",[],Lahori Tangdi
The Nawaabs,"['Tajganj, Agra']",[],Signature Charcoal Tangdi
The Nawaabs,"['Tajganj, Agra']",[],Mushroom Galouti
The Nawaabs,"['Tajganj, Agra']",[],Veg Seekh Kebab
The Nawaabs,"['Tajganj, Agra']",[],Malai Soya Chaap
The Nawaabs,"['Tajganj, Agra']",[],Lahori Soya Chaap
The Nawaabs,"['Tajganj, Agra']",[],Achari Soya Chaap
The Nawaabs,"['Tajganj, Agra']",[],Dahi Ke Kebab
The Nawaabs,"['Tajganj, Agra']",[],Achari Paneer Tikka
The Nawaabs,"['Tajganj, Agra']",[],Classic Paneer Tikka
The Nawaabs,"['Tajganj, Agra']",[],Malai Paneer Tikka
The Nawaabs,"['Tajganj, Agra']",[],Chicken Shaami Kebab
The Nawaabs,"['Tajganj, Agra']",[],Classic Chicken Tikka
The Nawaabs,"['Tajganj, Agra']",[],Achari Chicken Tikka
The Nawaabs,"['Tajganj, Agra']",[],Murgh Malai Tikka
The Nawaabs,"['Tajganj, Agra']",[],Mutton Tundey Kebab
The Nawaabs,"['Tajganj, Agra']",[],Lucknowi Chicken Seekh
The Nawaabs,"['Tajganj, Agra']",[],Chicken Tandoori
The Nawaabs,"['Tajganj, Agra']",[],Afghani Tandoori
The Nawaabs,"['Tajganj, Agra']",[],Chicken Fry
The Nawaabs,"['Tajganj, Agra']",[],Fish Fry
The Nawaabs,"['Tajganj, Agra']",[],Special Schezwan Tandoori [o]
The Nawaabs,"['Tajganj, Agra']",[],Fish Tikka
The Nawaabs,"['Tajganj, Agra']",[],Lahori Veg Chaap Masala
The Nawaabs,"['Tajganj, Agra']",[],Nawaabi Paneer
The Nawaabs,"['Tajganj, Agra']",[],Paneer Pasanda
The Nawaabs,"['Tajganj, Agra']",[],Paneer Tikka Masala
The Nawaabs,"['Tajganj, Agra']",[],Veg Jalfrazi
The Nawaabs,"['Tajganj, Agra']",[],Veg Nargisi Kofta
The Nawaabs,"['Tajganj, Agra']",[],Awadhi Kali Mirch Murgh
The Nawaabs,"['Tajganj, Agra']",[],Ghost Awadhi Korma
The Nawaabs,"['Tajganj, Agra']",[],Murgh Awadhi Korma
The Nawaabs,"['Tajganj, Agra']",[],Murgh Changezi
The Nawaabs,"['Tajganj, Agra']",[],Murgh Tikka Masala
The Nawaabs,"['Tajganj, Agra']",[],Mutton Boti Masala
The Nawaabs,"['Tajganj, Agra']",[],Nawaabs Special Mutton Curry1
The Nawaabs,"['Tajganj, Agra']",[],Nawaabs Speciial Nalli Nihari
The Nawaabs,"['Tajganj, Agra']",[],Nawaabs Special Butter Chicken
The Nawaabs,"['Tajganj, Agra']",[],Nawaabs Special Butter Chicken -Boneless
The Nawaabs,"['Tajganj, Agra']",[],Murgh Mussallam
The Nawaabs,"['Tajganj, Agra']",[],Tawa Anda Masala
