Restaurant_Name,City,Cuisine,Rating
Mango Masala Restaurant,Ajmer,"[['Bhel Puri', '₹249']]",0
Mango Masala Restaurant,Ajmer,"[['Chinese Bhel', '6 votes', '₹299']]",4.58
Mango Masala Restaurant,Ajmer,"[['Chola Tikki', '₹299']]",0
Mango Masala Restaurant,Ajmer,"[['Chole Bhature', '59 votes', '₹299']]",4.29
Mango Masala Restaurant,Ajmer,"[['Pav Bhaji', '27 votes', '₹249']]",4.29
Mango Masala Restaurant,Ajmer,"[['Club Grilled Sandwich', '₹299']]",0
Mango Masala Restaurant,Ajmer,"[['Veg And Cottage Cheese Grilled Sandwich', '₹249']]",0
Mango Masala Restaurant,Ajmer,"[['Veg Grilled Sandwich With Cheese', '9 votes', '₹299']]",4.2
Mango Masala Restaurant,Ajmer,"[['Veg Grilled Sandwich', '₹299']]",0
Mango Masala Restaurant,Ajmer,"[['Crisp Manchurian Balls Hot Garlic Sauce', '₹379']]",0
Mango Masala Restaurant,Ajmer,"[['Crispy Vegetable Chilli Peppers', '₹399']]",0
Mango Masala Restaurant,Ajmer,"[['Hara Bhara Kebab', '₹349']]",0
Mango Masala Restaurant,Ajmer,"[['Paneer Tikka', '25 votes', '₹399']]",4.19
Mango Masala Restaurant,Ajmer,"[['French Fries', '7 votes', '₹269']]",3.8
Mango Masala Restaurant,Ajmer,"[['Veg Cutlets', '7 votes', '₹299']]",3.91
Mango Masala Restaurant,Ajmer,"[['Punjabi Thali', '51 votes', '₹469']]",4.54
Mango Masala Restaurant,Ajmer,"[['Rajasthani Thali', '10 votes', '₹469']]",4.6
Mango Masala Restaurant,Ajmer,"[['Crisp Manchurian Balls With Hot Garlic Sauce', '₹399']]",0
Mango Masala Restaurant,Ajmer,"[['Spring Roll', '11 votes', '₹399']]",3.98
Mango Masala Restaurant,Ajmer,"[['Chilli Mushrooms', '₹449']]",0
Mango Masala Restaurant,Ajmer,"[['Chilli Paneer', '19 votes', '₹449']]",3.92
Mango Masala Restaurant,Ajmer,"[['Golden Chilli Potato', '₹399']]",0
Mango Masala Restaurant,Ajmer,"[['Honey Chilli Potato', '15 votes', '₹399']]",4.08
Mango Masala Restaurant,Ajmer,"[['Paneer Manchurian', '₹449']]",0
Mango Masala Restaurant,Ajmer,"[['Paneer Mushroom Chinese Style', '₹449']]",0
Mango Masala Restaurant,Ajmer,"[['Veg Manchurian', '18 votes', '₹399']]",4.36
Mango Masala Restaurant,Ajmer,"[['Achari Aloo', '₹399']]",0
Mango Masala Restaurant,Ajmer,"[['Aloo Gobi', '₹399']]",0
Mango Masala Restaurant,Ajmer,"[['Aloo Matar', '₹399']]",0
Mango Masala Restaurant,Ajmer,"[['Aloo Mutur Home Style', '₹399']]",0
Mango Masala Restaurant,Ajmer,"[['Aloo Palak', '₹399']]",0
Mango Masala Restaurant,Ajmer,"[['Chana Masala', '9 votes', '₹399']]",4.31
Mango Masala Restaurant,Ajmer,"[['Chole Paneer', '₹399']]",0
Mango Masala Restaurant,Ajmer,"[['Jalfrezi', '₹399']]",0
Mango Masala Restaurant,Ajmer,"[['Jeera Aloo', '₹399']]",0
Mango Masala Restaurant,Ajmer,"[['Kashmiri Dum Aloo', '₹399']]",0
Mango Masala Restaurant,Ajmer,"[['Clear Veg. Soup', '₹199']]",0
Mango Masala Restaurant,Ajmer,"[['Cream Of Tomato', '₹199']]",0
Mango Masala Restaurant,Ajmer,"[['Hot N Sour Soup', '₹199']]",0
Mango Masala Restaurant,Ajmer,"[['Manchow Soup', '₹199']]",0
Mango Masala Restaurant,Ajmer,"[['Veg. Sweet Corn Soup', '₹199']]",0
