restaurant_name,city,latitude,longitude,Ratings
The Nawaabs,Agra,27.1619194,78.0375562,4.3
The Nawaabs,Agra,27.1619194,78.0375562,4.3
Bistro 57,Agra,27.205932,78.0041632,4.1
Ghoomar Traditional Thali Restaurant,Agra,27.21063403,77.99966575,4.3
Molecule Air Bar,Agra,27.15423917,78.05923536,4.1
The Salt Cafe Kitchen & Bar,Agra,27.15762448,78.04941002,3.9
Palm Burj,Agra,27.16390618,78.01430158,4.1
Hichkee,Agra,27.18973955,78.02500326,4.2
Mansion- Tapas & CL Club,Agra,27.1645034,78.0148548,1
Fat Tiger,Agra,27.202942,78.001335,
Unplugged Courtyard,Agra,27.1587685,78.06178439,1
The Numberdaars,Agra,27.1986187,77.9549767,
Fat Boys Cafe,Agra,27.16096792,78.01148057,
Oasis - Radisson Hotel Agra,Agra,27.1587048,78.0542332,
Two Saints Bar & Kitchen,Agra,27.1611881,78.0316277,
Masala Bistro,Agra,27.1616568,78.0399709,
Urban Deck,Agra,27.19984901,78.00441429,
Pinch Of Spice,Agra,27.15997457,78.04275814,
MoMo Cafe - Courtyard By Marriott,Agra,27.1559744,78.0599444,
The Mud Cafe,Agra,27.19866783,78.00431807,
Made In Punjab,Agra,27.1992312,78.0037742,
Biryani By Kilo,Agra,27.202398,78.00354,
Downtown Cafe,Agra,27.17911469,78.00575674,
The Wok Bar,Agra,27.1995092,78.0037356,
Cosmos Cafe & Bar - Fairfield By Marriott,Agra,27.200855,78.008566,
Folks Pub,Agra,27.20619453,78.00284654,
KFC,Agra,27.20248,78.0035,
Barbeque Nation,Agra,27.20043109,78.00846845,
Djlecious,Agra,27.20354753,77.99943544,
Pizza Hut,Agra,27.16149682,78.03407047,
Lights Out - Lounge & Roofpark,Agra,27.19952188,78.00764266,
Tease Me - Rooftop Cafe,Agra,27.16650133,78.03688511,
Kiskey Whiskey,Agra,27.20151325,78.00839435,
Newcastle Cafe & Restaurant,Agra,27.2033031,77.9672552,
Dasaprakash,Agra,27.154046,78.05921,
Beep,Agra,27.1612839,78.0323391,
Thaliwala Pure Veg Restaurant,Agra,27.15876791,78.04530658,
Haldiram's,Agra,27.210907,77.9999166,
Raj Rasoi,Agra,27.19865441,78.00433315,
Ek Number-Twisted Indian Cafe,Agra,27.20619453,78.00284654,
McDonald's,Agra,27.1585133,78.057665,
Cafe G - Holiday Inn,Agra,27.19773177,78.00245158,
Xero Degrees,Agra,27.202944,78.001611,
Hotel Moti Palace - Pankhuri Restaurant,Agra,27.17920298,78.00575204,
North 27,Agra,27.15265954,78.05101231,
Lord Of The Drinks,Agra,27.15449304,78.05932179,
Bellevue - The Oberoi Amarvilas,Agra,27.16816727,78.05082522,
Chokho Jeeman Marwari Jain Bhojanalya,Agra,27.195361,77.99831226,
Spiced Brew,Agra,27.20747224,78.00112758,
Berco's - If You Love Chinese,Agra,27.16247942,78.03692836,
Cake Wala,Agra,27.17031997,77.99460445,
The Royal Bistro,Agra,27.20588114,78.00416883,
The Curry Station,Agra,27.1869807,77.988543,
Marleys The Milkshake,Agra,27.1576845,78.0482209,
Burger Farm,Agra,27.1583183,78.0558869,
Esphahan - The Oberoi Amarvilas,Agra,27.16814788,78.05084601,
The Ivory Kitchen,Agra,27.15937,78.0094738,
Burger King,Agra,27.2109211,77.9994388,
Savoury Street Food,Agra,27.1833406,77.97816284,
Domino's Pizza,Agra,27.20160868,78.00824516,
La Pino'z Pizza,Agra,27.160261,78.042205,
Bhagat Halwai,Agra,27.20578453,78.00443038,
New Pizza King,Agra,27.21520023,78.00637845,
Roofmates,Agra,27.2057407,77.95300875,
Desi Cafe Agra,Agra,27.19557124,78.02642249,
Sky Train Restaurant,Agra,27.20410813,77.95424558,
Vada Pav King,Agra,27.14565551,78.04098487,
GMB - Gopika Sweets & Restaurant,Agra,27.16224168,78.03830802,
Momocult,Agra,27.2014384,78.00753305,
Theobroma,Agra,27.202987,78.001099,
Mama Chicken Mama Franky House,Agra,27.16149622,78.01175583,
Taj Terrace - Hotel Taj Resorts,Agra,27.168394,78.051078,
Delhi 6,Agra,27.20114438,78.00675049,
Azuri,Agra,27.21135,78.0179838,
Bhagat Halwai,Agra,27.182887,77.979764,
Dasaprakash - A South Indian Cafe,Agra,27.16305126,78.03896181,
The Sky Restaurant,Agra,27.20410962,77.95423988,
Pind Balluchi,Agra,27.15802959,78.04692328,
Starbucks Coffee,Agra,27.162395,78.058399,
Shree Ram Poori Wale,Agra,27.20818847,77.97845721,
Fakira,Agra,27.20643517,77.97219325,
Achman Foods,Agra,27.21096578,78.00612586,
Temptation,Agra,27.21433,78.01815,
Deviram Sweets & Restaurant,Agra,27.16682289,78.00865654,
Wonder Terrace Bar & Kitchen,Agra,27.16087187,77.98312895,
Mughal Pavilion - ITC Mughal,Agra,27.16033283,78.04275177,
Cheesy Bees,Agra,27.2110951,77.9893974,
Sardar G Malai Chaap Junction,Agra,27.19882,78.00414,
The Indian Curry,Agra,27.20772003,78.02654922,
Aahar,Agra,27.19985646,78.00451688,
Arabian Bites,Agra,27.157014,78.0610511,
Tipsy Grill,Agra,27.21188761,77.99398184,
Bikanervala,Agra,27.21147941,78.00218504,
Eight Herbs Café,Agra,27.1984475,78.0042239,
Shree Bankey Bihari Misthan Bhandar,Agra,27.20386808,77.96541598,
D'zurt Cafe,Agra,27.21448671,78.02152678,
Om Restaurant,Agra,27.15901879,78.01063467,
Merry Go Round,Agra,27.16094376,78.06030113,
Plush Bar,Agra,27.15265775,78.05099119,
Hotel Orange,Agra,27.16747137,78.00898612,
