Restaurant Name,Rating,Cuisine,Average Cost for Two,City,Address,Latitude,Longitude
La Pino'z Pizza,3.3,"Pizza, Pasta, Italian, Fast Food",₹400 for two,Ajmer,"Ana Sagar Lake, Ajmer",26.4840700000,74.6313600000
Mango Masala Restaurant,4.6,"North Indian, South Indian, Fast Food, Sandwich, Beverages, Desserts",₹600 for two,Ajmer,"India Motor, Ajmer",26.4650283441,74.6390043944
Domino's Pizza,3.8,"Pizza, Fast Food, Desserts, Italian, Pasta",₹400 for two,Ajmer,"Pal Bhichala, Ajmer",26.4654449395,74.6377031878
Mango Curry,4.3,"North Indian, Continental, Desserts, Beverages",₹500 for two,Ajmer,"India Motor, Ajmer",26.4650670623,74.6390969306
Rominus Pizza And Burger,3.1,"Pizza, Burger, Pasta, Wraps, Fast Food",₹600 for two,Ajmer,"Ana Sagar Lake, Ajmer",26.4811311000,74.6312075000
Burgerlicious,3.9,"Burger, Wraps, Pizza, Fast Food, Beverages",₹300 for two,Ajmer,"Ana Sagar Lake, Ajmer",26.4901980000,74.6262090000
KFC,New,"Burger, Fast Food, Biryani, Desserts, Beverages",₹300 for two,Ajmer,"Ana Sagar Lake, Ajmer",26.4812935391,74.6314165374
Foodie Friends Cafe,3.4,"Sandwich, Burger, Pizza, Street Food, Chinese, Fast Food",₹300 for two,Ajmer,"Panchsheel Nagar, Ajmer",26.5004830000,74.6336829000
Sky Grill,4.4,"Cafe, Asian, Pasta, Fast Food, Pizza, North Indian, Desserts, Beverages",₹600 for two,Ajmer,"Ana Sagar Lake, Ajmer",26.4587837332,74.6366658434
Molecule Air Bar,4.6,"North Indian, Chinese, Continental, Italian","₹2,000 for two",Agra,"Tajganj, Agra",27.1542391651,78.0592353610
The Salt Cafe Kitchen & Bar,4.9,"North Indian, Continental, Chinese, Italian, Finger Food","₹1,800 for two",Agra,"Tajganj, Agra",27.1576244786,78.0494100228
Palm Burj,4.5,"North Indian, Chinese, Continental, Sushi, Sichuan, Beverages, Desserts","₹2,200 for two",Agra,"Rakabganj, Agra",27.1639061842,78.0143015832
Unplugged Courtyard,4.4,"Mediterranean, North Indian, Continental, Chinese, Mexican, Thai, Italian, Coffee","₹1,600 for two",Agra,"Tajganj, Agra",27.1587685044,78.0617843941
Pizza Hut,3.8,"Pizza, Fast Food, Desserts, Beverages","₹1,000 for two",Agra,"Agra Cantt, Agra",27.1589958166,78.0131747201
Momocult,3.7,"Momos, Chinese, Fast Food",₹200 for two,Agra,"Civil Lines, Agra",27.2014383960,78.0075330526
KFC,3.9,"Burger, Fast Food, Biryani, Desserts, Beverages",₹500 for two,Agra,"Tajganj, Agra",27.1578270332,78.0497271940
Lights Out - Lounge & Roofpark,4.1,"Bar Food, Finger Food, North Indian, Chinese, Continental, BBQ, Italian","₹1,400 for two",Agra,"Civil Lines, Agra",27.1995218827,78.0076426640
New Pizza King,3.8,"Pizza, Fast Food",₹500 for two,Agra,"Dayal Bagh, Agra",27.2152002341,78.0063784534
Karavali Fine Dine,4.4,"North Indian, Biryani, Mughlai, Seafood, Chinese, Hyderabadi","₹1,200 for two",Bangalore,"Koramangala 7th Block, Bangalore",12.9358741373,77.6077060577
The Terrace at Gilly's Redefined,4.4,"Continental, Finger Food, Chinese, North Indian, Italian, Beverages, Desserts","₹2,000 for two",Bangalore,"Gilly's Redefined, Koramangala 4th Block, Bangalore",12.9335933669,77.6233997941
Long Boat Brewing Co.,4.2,"Asian, Steak, Pizza, Pasta, Chinese, South Indian, North Indian","₹2,600 for two",Bangalore,"Marathahalli, Bangalore",12.9520476337,77.7003846423
Ironhill Bengaluru,4.5,"North Indian, Continental, Asian, Pizza, Fast Food, Biryani, Beverages, Desserts","₹2,000 for two",Bangalore,"Marathahalli, Bangalore",12.9509635398,77.6994350553
Roxie,4.6,"Continental, Asian, North Indian, European, American, Italian, Pizza, Beverages","₹2,600 for two",Bangalore,"Sarjapur Road, Bangalore",12.9151978000,77.6658216000
Pangeo,4.4,"Asian, Modern Indian, Italian, Mediterranean","₹3,500 for two",Bangalore,"Forum Rex Walk, Bangalore",12.9726391000,77.6065987000
Oia,4.0,"Continental, Asian, Seafood, Salad, Pizza, North Indian, Desserts","₹2,500 for two",Bangalore,"Hennur, Bangalore",13.0737438079,77.6525560905
Stories Brewery & Kitchen,4.4,"North Indian, Continental, Chinese, Finger Food, Beverages, Desserts","₹1,800 for two",Bangalore,"BTM, Bangalore",12.9058268113,77.6084169745
One8 Commune,New,"North Indian, Chinese, Pasta, Sushi, Continental, Desserts, Beverages","₹3,000 for two",Bangalore,"Lavelle Road, Bangalore",12.9762151641,77.5991868467
Peddlers,4.2,"North Indian, Chinese, Fast Food, Pizza, Burger, Continental, Beverages, Desserts","₹1,000 for two",Amritsar,"Ranjit Avenue, Amritsar",31.6522243000,74.8624939000
Organic Curry,4.0,"North Indian, South Indian, Chinese",₹400 for two,Amritsar,"Ranjit Avenue, Amritsar",31.6774820000,74.8364880000
Diago,-,"North Indian, Bar Food","₹1,000 for two",Amritsar,"Ranjit Avenue, Amritsar",31.6558404000,74.8555783000
Pizzetto,3.2,"Pizza, Burger, Pasta, Momos, Fast Food, Salad, Shake, Beverages",₹400 for two,Amritsar,"Mohan Nagar, Amritsar",31.6178210000,74.8871320000
Rang Punjab,4.1,"North Indian, Beverages, Desserts","₹1,000 for two",Amritsar,"Town Hall, Amritsar",31.6257668000,74.8784974000
The Amritsar Haveli,3.7,"North Indian, South Indian, Fast Food, Chinese, Sandwich, Desserts, Pizza, Beverages",₹400 for two,Amritsar,"Town Hall, Amritsar",31.6245184231,74.8789950460
Dumpling Hood,3.4,"Momos, Chinese",₹450 for two,Amritsar,"Ranjit Avenue, Amritsar",31.6527160000,74.8631900000
Kafeine,-,"Pizza, Italian, Sandwich, Fast Food, Salad, Desserts",₹700 for two,Amritsar,"Ranjit Avenue, Amritsar",31.6560624000,74.8597393000
Huber & Holly,3.7,"Ice Cream, Bakery, Pizza, Italian, Sandwich, Fast Food, Shake, Beverages",₹500 for two,Amritsar,"Ranjit Avenue, Amritsar",31.6573524475,74.8545684814
Barista Coffee,3.7,"Cafe, Coffee, Desserts, Sandwich, Fast Food",₹550 for two,Chandigarh,"Sector 35, Chandigarh",30.7223522089,76.7613203824
Corby's - Hyatt Centric,4.4,"North Indian, Continental, Fast Food, Chinese, Desserts, Beverages","₹2,500 for two",Chandigarh,"Hyatt Centric, Chandigarh",30.7446918875,76.7835164329
Prankster,4.4,"North Indian, Mughlai, Asian, BBQ, Finger Food, Street Food, Desserts, Beverages","₹2,000 for two",Chandigarh,"Sector 26, Chandigarh",30.7249098493,76.8057206646
Zeek,4.1,"North Indian, Salad, Chinese, Italian, Mughlai, Pizza, Burger, Desserts","₹1,400 for two",Chandigarh,"Sector 26, Chandigarh",30.7256145000,76.8060653000
Tahiti - The Culinary Rooftop,3.3,"Mediterranean, North Indian, Italian, Pizza, Pasta, Salad, Desserts, Beverages","₹2,000 for two",Panchkula,"Sector 5, Panchkula",30.7016375000,76.8537118000
